Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Unnamed,RU,20,21,109.227.217.228,109-227-217-228.nts.su,9001,9030,0,0,1,1,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on FreeBSD i386,0,0
Unnamed,RO,1,0,77.36.50.86,77.36.50.86,9001,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,SY,0,0,77.44.191.157,77.44.191.157,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin x86_64,0,0
Unnamed,FR,12,0,78.120.154.179,179.154.120.78.rev.sfr.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,NL,2,26,95.36.47.224,95-36-47-224.dsl.alice.nl,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,184,0,95.130.10.15,barbot.ahtna.org,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,US,446,1,128.59.20.141,nsl-vmuser-10.cs.columbia.edu,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.3.7-alpha (git-66b340a31bf3f7b6) on Linux x86_64,0,0
Unnamed,US,1,0,98.214.169.62,c-98-214-169-62.hsd1.il.comcast.net,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,1,0,88.171.104.183,bos94-6-88-171-104-183.fbx.proxad.net,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {personal} {terminal services- single user},0,0
Unnamed,US,29,1,74.130.21.159,74-130-21-159.dhcp.insightbb.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,DE,18,4,85.183.95.117,e183095117.adsl.alicedsl.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.2.32 (git-877e17749725ab88) on Linux x86_64,0,0
Unnamed,RU,44,7,109.172.13.72,109.172.13.72,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,ES,5,0,95.125.159.81,81.Red-95-125-159.staticIP.rima-tde.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,38,25,74.207.248.110,brighid.ussjoin.com,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,US,16,0,71.197.112.153,c-71-197-112-153.hsd1.ca.comcast.net,443,None,0,0,0,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,RU,3,0,195.209.66.99,euanthe.uni-smr.ac.ru,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,DE,402,49,79.143.179.150,150.179.143.79.static.giga-dns.com,9001,None,0,1,1,0,0,1,1,1,0,Tor 0.2.2.33 on Linux x86_64,0,0
Unnamed,DE,5,0,89.0.150.49,xdsl-89-0-150-49.netcologne.de,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,DE,660,40,87.106.6.201,s15896016.onlinehome-server.info,80,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux x86_64,0,0
Unnamed,DE,2112,1,178.63.97.34,tor-exit-01.thehappy3.com,9001,80,0,1,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,CH,126,11,178.192.142.208,208-142.192-178.cust.bluewin.ch,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,DE,0,0,87.188.202.212,p57BCCAD4.dip.t-dialin.net,443,9030,0,1,0,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,DE,0,0,91.65.165.99,91-65-165-99-dynip.superkabel.de,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,IT,0,0,78.134.21.180,78.134.21.180,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,US,31,2,24.43.164.140,rrcs-24-43-164-140.west.biz.rr.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,UA,322,3,212.2.145.187,212.2.145.187,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,GR,0,0,79.103.210.85,79.103.210.85.dsl.dyn.forthnet.gr,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,IR,0,0,91.98.65.134,91.98.65.134.pol.ir,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Windows 'Longhorn' Service Pack 1 [server] {terminal services- single user} {terminal services},0,0
Unnamed,AU,0,4,59.167.128.11,ppp59-167-128-11.static.internode.on.net,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,10,0,82.233.141.77,mfe13-1-82-233-141-77.fbx.proxad.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-516f86643445dd7c) on Darwin x86_64,0,0
Unnamed,US,94,3,184.74.19.243,rrcs-184-74-19-243.nys.biz.rr.com,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,US,22,4,71.199.176.33,c-71-199-176-33.hsd1.ga.comcast.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,RU,5,0,89.110.16.213,ppp89-110-16-213.pppoe.avangarddsl.ru,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin i386,0,0
Unnamed,DK,260,63,80.62.217.19,80.62.217.19,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux x86_64,0,0
Unnamed,MX,8,1,189.146.234.251,dsl-189-146-234-251-dyn.prod-infinitum.com.mx,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows Server 2003 Service Pack 2 [server],0,0
Unnamed,SE,3,0,81.232.87.84,81-232-87-84-no31.business.telia.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,NO,2,1,46.46.238.76,ip-76-238-46-46.dialup.ice.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,GB,0,0,109.157.11.94,host109-157-11-94.range109-157.btcentralplus.com,443,None,0,0,0,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,0,0,78.250.145.120,78.250.145.120,443,9030,0,1,0,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {personal} {terminal services- single user},0,0
Unnamed,US,1,6,69.201.146.133,cpe-69-201-146-133.nyc.res.rr.com,9001,None,0,1,0,0,0,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux armv5tel,0,0
Unnamed,SE,196,1,213.100.73.218,c213-100-73-218.cust.tele2.se,49202,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
Unnamed,PL,7,0,77.46.50.20,PC-77-46-50-20.euro-net.pl,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,84,24,184.82.79.70,184-82-79-70.static.hostnoc.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
Unnamed,US,408,15,71.251.28.215,pool-71-251-28-215.nycmny.fios.verizon.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,US,0,2,74.221.59.148,dsl-pool7-148.jamadots.com,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,PL,0,0,91.189.35.186,h-91-189-35-186.euronet.net.pl,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on FreeBSD i386,0,0
Unnamed,US,20,9,173.174.56.140,cpe-173-174-56-140.austin.res.rr.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin i386,0,0
Unnamed,SK,126,25,94.228.86.195,host-94-228-86-195.e-net.sk,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
Unnamed,RU,465,7,94.19.12.244,94.19.12.244.pool.sknt.ru,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD i386,0,0
Unnamed,CZ,68,14,78.108.159.5,ip-78-108-159-5.klient.poruba.net,9090,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,N/A,1,0,158.181.128.187,158.181.128.187,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,FR,13,0,92.138.193.79,ANancy-552-1-6-79.w92-138.abo.wanadoo.fr,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {personal} {terminal services- single user},0,0
Unnamed,FI,107,11,83.143.219.212,vpn.supermikko.fi,9011,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
Unnamed,US,38,23,199.127.225.44,199.127.225.44,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,IN,0,0,49.202.151.139,Static-139.151.202.49.tataidc.co.in,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,US,174,1,129.21.84.174,jrg8686book.student.rit.edu,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,CY,0,0,62.228.24.250,62-24-250.netrun.cytanet.com.cy,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,TW,12,1,114.42.195.193,114-42-195-193.dynamic.hinet.net,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.32 (git-877e17749725ab88) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,US,8,1,67.248.242.134,cpe-67-248-242-134.nycap.res.rr.com,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,SE,124,8,83.255.197.252,c83-255-197-252.bredband.comhem.se,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux x86_64,0,0
Unnamed,US,12,12,50.57.149.204,50-57-149-204.static.cloud-ips.com,9001,None,0,1,1,0,0,0,1,1,0,Tor 0.2.3.10-alpha (git-159b6fba77c5fd7f) on Linux x86_64,0,0
Unnamed,ES,0,0,212.166.222.194,212-166-222-194.red-acceso.airtel.net,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows XP Service Pack 3 [workstation],0,0
